N,kubeproxy_us,ebpf_connect4_us,gap_us,speedup
0,45.009,41.591,3.417,1.082
100,46.598,40.905,5.693,1.139
500,46.527,42.003,4.524,1.108
1000,49.047,40.574,8.473,1.209
2000,56.776,19.661,37.115,2.888
5000,63.667,42.801,20.866,1.488
10000,94.227,44.926,49.301,2.097
20000,154.050,40.576,113.474,3.797
40000,262.912,40.046,222.866,6.565
60000,301.458,40.579,260.878,7.429
