N,fanout,makespan_ideal_s,makespan_base_s,makespan_edag_s,dataplane_base_us,dataplane_edag_us,energy_base_uj,energy_edag_uj,energy_edag_hw_uj,edp_base,edp_edag,edp_edag_hw,edp_improve_sw,edp_improve_hw
100,1,2.912228,2.932558,2.908691,528.04,82.24,7920.6,1233.6,185.0,23227.55,3588.09,538.21,6.47,43.16
500,1,2.898586,2.925498,2.925205,528.04,82.24,7920.6,1233.6,185.0,23171.63,3608.47,541.27,6.42,42.81
1000,1,2.915064,2.917162,2.883639,528.04,82.24,7920.6,1233.6,185.0,23105.6,3557.19,533.58,6.5,43.3
2000,2,2.922279,2.8957,2.912392,1097.91,112.8,16468.6,1692.0,253.8,47688.17,4927.83,739.17,9.68,64.52
5000,5,2.897192,2.876631,2.87961,2807.52,204.49,42112.7,3067.4,460.1,121142.77,8832.8,1324.92,13.72,91.43
10000,10,2.940166,2.926441,2.918933,5656.86,357.31,84852.9,5359.6,803.9,248317.06,15644.27,2346.64,15.87,105.82
20000,20,2.896973,2.928273,2.902853,11355.55,662.94,170333.3,9944.0,1491.6,498782.36,28866.08,4329.91,17.28,115.19
40000,40,2.909104,2.933448,2.90734,22752.94,1274.2,341294.0,19112.9,2866.9,1001168.46,55567.83,8335.17,18.02,120.11
60000,60,2.925719,2.920068,2.890895,34150.32,1885.46,512254.8,28281.9,4242.3,1495818.71,81759.87,12263.98,18.3,121.97
