N,fanout,makespan_ideal_s,makespan_base_s,makespan_edag_s,dataplane_base_us,dataplane_edag_us,energy_base_uj,energy_edag_uj,energy_edag_hw_uj,edp_base,edp_edag,edp_edag_hw,edp_improve_sw,edp_improve_hw
100,1,0.002912,0.00323,0.002955,528.04,82.24,7920.6,1233.6,185.0,25.59,3.65,0.55,7.02,46.79
500,1,0.002899,0.003223,0.002972,528.04,82.24,7920.6,1233.6,185.0,25.53,3.67,0.55,6.96,46.43
1000,1,0.002915,0.003214,0.00293,528.04,82.24,7920.6,1233.6,185.0,25.46,3.61,0.54,7.04,46.96
2000,2,0.002922,0.003514,0.002976,1097.91,112.8,16468.6,1692.0,253.8,57.86,5.04,0.76,11.49,76.61
5000,5,0.002897,0.004458,0.002994,2807.52,204.49,42112.7,3067.4,460.1,187.73,9.18,1.38,20.44,136.3
10000,10,0.00294,0.006131,0.00312,5656.86,357.31,84852.9,5359.6,803.9,520.25,16.72,2.51,31.11,207.41
20000,20,0.002897,0.00934,0.003276,11355.55,662.94,170333.3,9944.0,1491.6,1590.91,32.57,4.89,48.84,325.6
40000,40,0.002909,0.015782,0.003625,22752.94,1274.2,341294.0,19112.9,2866.9,5386.3,69.29,10.39,77.73,518.21
60000,60,0.002926,0.022238,0.003948,34150.32,1885.46,512254.8,28281.9,4242.3,11391.29,111.64,16.75,102.03,680.21
