N,kubeproxy_us,ebpf_connect4_us,gap_us,speedup
0,21.188,20.931,0.257,1.012
100,21.395,21.046,0.349,1.017
500,24.139,20.992,3.148,1.150
1000,26.386,19.663,6.724,1.342
2000,29.850,22.037,7.812,1.355
5000,38.619,21.460,17.160,1.800
10000,52.566,20.650,31.916,2.546
20000,81.273,21.833,59.440,3.722
40000,119.605,20.779,98.826,5.756
60000,151.192,21.213,129.979,7.127
